date,station_id,surface_ha,rainfall_mm,temp_max_c,water_deficit_mm
2010-03-29,lucena,88000,0.0,17.3,0.0
2010-03-29,martos,68000,0.0,16.3,0.0
2010-03-29,sevilla_capital,75000,0.0,20.2,0.0
2010-03-29,ubeda,98000,0.0,15.0,0.0
2010-04-05,antequera,35000,0.0,20.8,0.0
2010-04-05,baeza,72000,0.0,19.2,0.0
2010-04-05,baza,28000,0.0,20.8,0.0
2010-04-05,cabra,52000,0.0,21.6,0.0
2010-04-05,cordoba_capital,140000,0.0,22.8,0.0
2010-04-05,ecija,42000,0.0,23.0,0.0
2010-04-05,granada_capital,55000,0.0,21.2,0.0
2010-04-05,jaen_capital,165000,0.0,21.0,0.0
2010-04-05,linares,45000,0.0,21.5,0.0
2010-04-05,lucena,88000,0.0,20.8,0.0
2010-04-05,martos,68000,0.0,20.5,0.0
2010-04-05,sevilla_capital,75000,0.0,23.6,0.0
2010-04-05,ubeda,98000,0.0,19.5,0.0
2010-04-12,antequera,35000,0.0,17.8,0.0
2010-04-12,baeza,72000,0.0,17.7,0.0
2010-04-12,baza,28000,0.0,17.1,0.0
2010-04-12,cabra,52000,0.0,20.4,0.0
2010-04-12,cordoba_capital,140000,0.0,21.7,0.0
2010-04-12,ecija,42000,0.0,21.8,0.0
2010-04-12,granada_capital,55000,0.0,18.0,0.0
2010-04-12,jaen_capital,165000,0.0,20.6,0.0
2010-04-12,linares,45000,0.0,20.4,0.0
2010-04-12,lucena,88000,0.0,19.2,0.0
2010-04-12,martos,68000,0.0,19.7,0.0
2010-04-12,sevilla_capital,75000,0.0,22.6,0.0
2010-04-12,ubeda,98000,0.0,17.8,0.0
2010-04-19,antequera,35000,0.0,21.3,0.0
2010-04-19,baeza,72000,0.0,21.4,0.0
2010-04-19,baza,28000,0.0,20.8,0.0
2010-04-19,cabra,52000,0.0,23.7,0.0
2010-04-19,cordoba_capital,140000,0.0,25.2,0.0
2010-04-19,ecija,42000,0.0,26.3,0.0
2010-04-19,granada_capital,55000,0.0,21.9,0.0
2010-04-19,jaen_capital,165000,0.0,23.6,0.0
2010-04-19,linares,45000,0.0,24.1,0.0
2010-04-19,lucena,88000,0.0,23.1,0.0
2010-04-19,martos,68000,0.0,22.7,0.0
2010-04-19,sevilla_capital,75000,0.0,26.5,0.0
2010-04-19,ubeda,98000,0.0,21.8,0.0
2010-04-26,antequera,35000,0.0,24.0,0.0
2010-04-26,baeza,72000,0.0,26.3,0.0
2010-04-26,baza,28000,0.0,26.7,0.0
2010-04-26,cabra,52000,0.0,28.2,0.0
2010-04-26,cordoba_capital,140000,0.0,29.8,0.0
2010-04-26,ecija,42000,0.0,29.6,0.0
2010-04-26,granada_capital,55000,0.0,26.4,0.0
2010-04-26,jaen_capital,165000,0.0,29.1,0.0
2010-04-26,linares,45000,0.0,29.1,0.0
2010-04-26,lucena,88000,0.0,27.4,0.0
2010-04-26,martos,68000,0.0,28.0,0.0
2010-04-26,sevilla_capital,75000,0.0,30.1,0.0
2010-04-26,ubeda,98000,0.0,26.4,0.0
2010-05-03,antequera,35000,0.0,21.4,0.0
2010-05-03,baeza,72000,0.0,18.9,0.0
2010-05-03,baza,28000,0.0,21.8,0.0
2010-05-03,cabra,52000,0.0,22.0,0.0
2010-05-03,cordoba_capital,140000,0.0,22.9,0.0
2010-05-03,ecija,42000,0.0,23.5,0.0
2010-05-03,granada_capital,55000,0.0,21.2,0.0
2010-05-03,jaen_capital,165000,0.0,21.4,0.0
2010-05-03,linares,45000,0.0,20.9,0.0
2010-05-03,lucena,88000,0.0,21.6,0.0
2010-05-03,martos,68000,0.0,20.9,0.0
2010-05-03,sevilla_capital,75000,0.0,22.5,0.0
2010-05-03,ubeda,98000,0.0,19.5,0.0
2010-05-10,antequera,35000,0.0,21.1,0.0
2010-05-10,baeza,72000,0.0,18.5,0.0
2010-05-10,baza,28000,0.0,19.2,0.0
2010-05-10,cabra,52000,0.0,22.1,0.0
2010-05-10,cordoba_capital,140000,0.0,24.3,0.0
2010-05-10,ecija,42000,0.0,24.9,0.0
2010-05-10,granada_capital,55000,0.0,20.7,0.0
2010-05-10,jaen_capital,165000,0.0,21.0,0.0
2010-05-10,linares,45000,0.0,21.6,0.0
2010-05-10,lucena,88000,0.0,21.9,0.0
2010-05-10,martos,68000,0.0,20.7,0.0
2010-05-10,sevilla_capital,75000,0.0,24.7,0.0
2010-05-10,ubeda,98000,0.0,18.6,0.0
2010-05-17,antequera,35000,0.0,26.5,0.0
2010-05-17,baeza,72000,0.0,26.9,0.0
2010-05-17,baza,28000,0.0,26.6,0.0
2010-05-17,cabra,52000,0.0,31.0,0.0
2010-05-17,cordoba_capital,140000,0.0,32.8,0.0
2010-05-17,ecija,42000,0.0,32.7,0.0
2010-05-17,granada_capital,55000,0.0,28.9,0.0
2010-05-17,jaen_capital,165000,0.0,29.3,0.0
2010-05-17,linares,45000,0.0,29.7,0.0
2010-05-17,lucena,88000,0.0,29.4,0.0
2010-05-17,martos,68000,0.0,29.3,0.0
2010-05-17,sevilla_capital,75000,0.0,32.5,0.0
2010-05-17,ubeda,98000,0.0,27.0,0.0
2010-05-24,antequera,35000,0.0,28.4,0.0
2010-05-24,baeza,72000,0.0,27.0,0.0
2010-05-24,baza,28000,0.0,27.3,0.0
2010-05-24,cabra,52000,0.0,30.0,0.0
2010-05-24,cordoba_capital,140000,0.0,32.2,0.0
2010-05-24,ecija,42000,0.0,32.5,0.0
2010-05-24,granada_capital,55000,0.0,28.3,0.0
2010-05-24,jaen_capital,165000,0.0,29.2,0.0
2010-05-24,linares,45000,0.0,30.0,0.0
2010-05-24,lucena,88000,0.0,29.6,0.0
2010-05-24,martos,68000,0.0,28.6,0.0
2010-05-24,sevilla_capital,75000,0.0,32.4,0.0
2010-05-24,ubeda,98000,0.0,27.2,0.0
2010-05-31,antequera,35000,0.0,33.5,0.0
2010-05-31,baeza,72000,0.0,31.6,0.0
2010-05-31,baza,28000,0.0,31.9,0.0
2010-05-31,cabra,52000,0.0,34.3,0.0
2010-05-31,cordoba_capital,140000,0.0,37.1,0.0
2010-05-31,ecija,42000,0.0,37.4,0.0
2010-05-31,granada_capital,55000,0.0,32.5,0.0
2010-05-31,jaen_capital,165000,0.0,33.8,0.0
2010-05-31,linares,45000,0.0,34.3,0.0
